Ahmed,Sot,4lmed,,
815,BK,28.8,50,9,9 1 4,,,,,,,,,,
,,1 . 2 . 3,49 15,168,5120,,,,,,,,,,
,8,,,,,,,,,,,,,,
,8K,29.4,50,,9114,,,,,,,,,,
,82,1.01.c 3,3 2 1,176,14,,,,,,,,,,
,,,,,,,,,,,,,,,
,8F,28.3,36,,14,,,,,,,,,,
,FS,56 6,29,1779,4 1 1 2,2,,,,,,,,,
,,,,,,,,,,,,,,,
2,BK,29.2,50,,9115,,,,,,,,,,
,,1.02.6,52,173,5121,,,,,,,,,,
,,,,,,,,,,,,,,,
,8K,28.9,54,,9115,,,,,,,,,,
,BQ,1.00 . 5,34 12,180,14,,,,,,,,,,
,,,,,,,,,,,,,,,
,13 2,27.6,37,,14,,,,,,,,,,
,F.S,56 9,30,153,4 1 1 2,2,,,,,,,,,
,,,,,,,,,,,,,,,
3.,BK,28 0,55,,4115,,,,,,,,,,
,,1.00 .5,53 17,172,5j21,,,,,,,,,,
,,,,,2,,,,,,,,,,
,BX,< 2 8 0,52,,4115,5,,,,,,,,,
,i.e,593,34,182,16,,,,,,,,,,
,,,,,,,,,,,,,,,
,BQ,27.3,34,,14,,,,,,,,,,
,75,56Â·3,31,185,4 1 1 2,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
